#{"t_start": 1713284787.1617033, "env_id": "None"}
r,l,t
186.122253,16,35208.104605
1878.856754,67,35228.605917
5087.052711,230,35280.035072
158.630286,11,35282.60106
5478.384645,221,35331.452014
3919.859962,160,35365.316581
1192.155767,52,35377.433931
73.160495,17,35392.265728
644.624446,32,35399.780254
2955.475401,111,35424.131942
1458.163216,66,35438.598827
2146.452586,100,35461.464196
2365.757671,96,35483.813266
627.0163,32,35492.427634
1608.81555,72,35509.078861
866.08366,37,35517.477193
2226.867311,91,35538.711379
390.093034,26,35544.625693
2511.835304,92,35565.762797
178.267188,20,35572.874156
3108.883405,127,35602.289934
1279.869947,59,35616.086339
1605.416989,62,35631.057155
1288.004859,61,35645.656626
238.441791,26,35651.453327
1085.53184,47,35662.770102
138.456946,19,35673.352479
4828.534267,188,35715.699925
2390.96215,96,35736.883345
2495.313175,110,35761.301406
112.953972,11,35763.565992
101.47745,10,35766.231985
95.10748,10,35768.464435
1343.485575,51,35799.717464
1412.501775,57,35812.695563
1252.369413,57,35825.598523
438.225379,28,35831.764899
3052.488943,116,35857.897424
1391.13361,45,35868.094581
1031.107979,54,35880.630809
925.962504,46,35891.212084
4520.893435,165,35928.490937
1745.820698,71,35944.788663
342.853169,25,35950.610306
1212.018772,63,35965.47529
1296.007026,62,35979.958117
1026.17566,44,35999.138966
1011.815922,44,36009.108688
167.661269,19,36013.175442
1472.512324,65,36027.860348
223.683031,19,36032.037415
656.277666,39,36041.023096
154.09662,12,36044.023389
959.160792,55,36068.738894
196.063633,25,36074.285229
3118.249782,101,36097.153094
565.762773,31,36104.217141
2456.357924,109,36128.651159
331.734763,20,36133.103938
122.012113,17,36136.867018
1055.924463,46,36147.565689
3173.260104,128,36180.582982
196.822952,13,36183.630181
555.930175,28,36190.217685
1246.245376,49,36201.350251
3606.318564,165,36238.665301
942.713161,48,36249.847422
6233.059364,227,36313.962468
924.713064,35,36321.962111
1391.529435,61,36335.877237
3837.684113,161,36371.676533
131.07597,24,36376.792124
944.445838,47,36387.926678
