#{"t_start": 1712989102.967028, "env_id": "None"}
r,l,t
0.0,492,61139.206407
0.0,508,61259.452858
0.0,614,61402.297418
0.0,604,61522.542704
0.0,606,61642.855233
0.0,615,61763.063447
0.0,606,61883.313416
0.0,500,62025.853903
0.0,507,62146.151808
0.0,485,62266.514621
0.0,500,62386.905668
0.0,504,62507.204951
0.0,789,62650.730605
0.0,792,62770.991557
0.0,780,62891.237803
0.0,795,63011.579545
0.0,796,63131.76279
0.0,791,63274.038442
0.0,797,63394.349379
0.0,779,63514.561772
0.0,787,63634.874101
0.0,788,63755.186947
0.0,503,63899.779902
0.0,496,64020.124473
0.0,506,64140.371253
0.0,504,64260.667333
0.0,506,64380.927991
0.0,503,64524.106222
0.0,485,64644.649243
0.0,501,64765.063813
0.0,500,64885.374093
0.0,506,65005.770642
0.0,502,65149.998844
0.0,510,65270.294415
0.0,504,65390.571847
0.0,501,65510.832777
0.0,490,65631.211411
0.0,785,65775.487294
0.0,786,65895.834433
0.0,794,66016.1115
0.0,787,66136.472734
0.0,787,66256.802545
0.0,498,66399.996883
0.0,490,66520.343546
0.0,488,66640.671197
0.0,513,66761.082145
0.0,504,66881.545278
0.0,615,67021.520483
0.0,610,67141.80117
0.0,606,67262.129112
0.0,610,67382.48964
0.0,609,67502.916701
0.0,491,67645.763797
0.0,499,67766.057514
0.0,506,67886.370868
0.0,503,68006.831965
0.0,499,68127.230879
0.0,616,68270.041048
0.0,606,68390.332838
0.0,602,68510.663801
0.0,602,68631.090476
0.0,607,68751.4524
0.0,497,68894.749257
0.0,487,69015.107591
0.0,498,69135.5063
0.0,499,69255.767987
0.0,503,69376.113089
0.0,499,69518.656636
0.0,486,69639.134083
0.0,502,69759.464345
0.0,495,69879.924806
0.0,483,70000.17192
0.0,489,70143.847508
0.0,495,70264.191302
0.0,513,70384.620058
0.0,504,70504.965455
0.0,500,70625.458445
0.0,503,70768.554579
0.0,493,70888.852503
0.0,501,71009.376133
0.0,495,71129.674776
0.0,499,71250.071062
0.0,789,71392.297272
0.0,794,71512.608158
0.0,789,71632.787267
0.0,785,71753.118404
0.0,785,71873.446589
0.0,501,72015.319207
0.0,486,72135.6341
0.0,489,72256.078139
0.0,482,72376.576254
0.0,499,72496.903319
0.0,510,72639.765403
0.0,499,72760.190792
0.0,492,72880.621196
0.0,503,73001.049746
0.0,508,73121.47844
0.0,491,73264.191042
0.0,496,73384.717188
0.0,495,73505.045712
0.0,496,73625.458671
0.0,496,73745.788368
0.0,492,73889.565185
0.0,485,74009.827159
0.0,500,74130.170447
0.0,487,74250.582752
0.0,499,74370.846449
0.0,783,74514.00495
0.0,796,74634.218439
0.0,786,74754.512773
0.0,786,74874.840276
0.0,789,74995.071685
0.0,605,75138.577391
0.0,602,75258.858396
0.0,613,75379.138734
0.0,603,75499.534221
0.0,605,75619.810417
0.0,788,75761.638449
0.0,785,75881.834918
0.0,794,76002.098143
0.0,794,76122.463865
0.0,785,76242.821059
0.0,784,76386.565529
0.0,785,76506.925024
0.0,794,76627.240243
0.0,788,76747.449495
0.0,797,76867.695014
0.0,491,77011.055761
0.0,496,77131.335175
0.0,498,77251.764175
0.0,509,77372.057981
0.0,486,77492.337189
0.0,491,77635.532409
0.0,489,77755.994527
0.0,500,77876.30345
0.0,493,77996.614013
0.0,501,78116.980319
0.0,505,78260.772135
0.0,506,78381.21876
0.0,504,78501.6815
0.0,500,78622.108865
0.0,492,78742.521317
0.0,495,78885.631456
0.0,487,79006.027744
