#{"t_start": 1713072229.9904199, "env_id": "None"}
r,l,t
3218.416315,69,19735.412598
8465.769021,116,19760.781309
434.029744,18,19764.714805
8085.289916,126,19791.362655
8725.129886,154,19847.17793
2997.693457,43,19856.792422
6530.377754,89,19876.692677
6028.800182,86,19895.592561
6160.806305,86,19914.02501
3345.113904,41,19923.558291
167.073333,16,19940.208751
688.166619,18,19944.240613
1715.440045,246,19996.819442
4179.755227,67,20011.321793
12189.41941,182,20051.003501
1186.088349,21,20055.819246
2881.790018,51,20067.070327
747.181288,24,20072.336396
273.425791,18,20077.452413
412.991562,555,20197.896835
2055.101534,262,20255.89397
10824.850129,130,20284.810203
4400.994739,111,20309.527094
503.384219,536,20452.78312
1696.085279,38,20461.437039
282.008637,551,20581.84765
277.619266,549,20702.228087
264.515306,543,20822.553832
171.078788,550,20965.148735
664.294529,551,21085.529366
957.036458,552,21205.938067
2065.599184,35,21214.040924
626.828351,20,21218.62339
1369.706895,74,21235.270852
180.382338,27,21246.88957
855.227893,553,21367.133949
8603.561514,113,21391.433999
629.580086,560,21511.762606
6742.924025,91,21531.561054
4881.07283,73,21568.957684
294.860525,553,21689.304714
588.201153,553,21809.717508
3512.707589,351,21886.544753
9018.586362,550,22006.773726
6986.759445,98,22050.906926
2168.687023,38,22059.123899
640.165509,553,22179.500114
838.186688,550,22299.760602
904.319613,558,22420.025407
128.569508,14,22445.955749
1844.832624,36,22454.306098
1861.368069,32,22461.571363
6046.980251,81,22479.789992
338.667407,17,22483.854283
159.301618,15,22510.202461
6097.251298,86,22528.837275
8287.534124,111,22552.420154
2184.062166,36,22560.200498
384.690649,68,22574.683339
1334.618662,25,22580.399684
3310.314016,206,22640.947927
705.139791,552,22761.343874
1336.430348,25,22767.161119
3085.155139,59,22780.211326
3526.930264,450,22879.106974
2209.694553,39,22888.32057
31.250873,548,23022.418384
2440.232036,43,23031.850576
3803.779552,67,23046.349764
6509.556245,194,23088.598052
4670.676354,59,23101.380477
1567.325002,25,23107.147625
159.36343,14,23110.482316
1435.349315,51,23121.663957
5143.361018,66,23138.115848
595.472182,24,23143.828056
2258.085375,47,23153.660228
357.495862,19,23157.893758
2991.817899,215,23204.374359
779.033911,21,23230.492372
5376.029084,74,23247.126031
5892.917055,78,23263.789598
2539.540416,40,23272.6567
2061.455197,61,23286.207276
3126.871805,42,23295.905024
910.99174,82,23326.753858
1396.019593,163,23362.136568
5711.41821,94,23382.820468
2948.21024,85,23401.769081
802.197245,89,23420.953019
2984.577773,51,23432.752216
1769.955724,45,23443.017565
2456.88165,40,23453.083504
1237.422435,31,23460.013937
2003.049902,36,23468.383608
5102.841781,70,23483.682032
3573.262798,70,23498.964348
3834.096575,59,23512.097074
-6.106054,23,23517.295763
2538.054954,50,23532.779784
675.568612,24,23538.180479
2432.978681,49,23549.144482
2362.630846,71,23564.946671
2915.283192,39,23573.67743
1825.952824,99,23596.610395
5779.963963,71,23612.777143
302.148376,15,23616.244496
3797.674868,77,23633.441755
6922.916625,179,23672.409369
1299.808354,30,23679.147232
3159.213505,48,23711.724895
1261.71125,36,23719.740975
410.024425,14,23722.905096
2831.020041,48,23733.440166
2818.059056,57,23745.754094
3792.599445,59,23759.22176
764.091813,21,23763.905239
2929.895976,43,23777.968921
1517.60526,44,23787.953554
1534.308222,36,23795.900843
300.628756,19,23799.969111
608.238895,18,23804.320254
2176.921664,30,23811.385564
455.82852,28,23833.316916
9953.75637,155,23866.715297
8545.344208,102,23889.649516
2976.232358,47,23900.067115
2194.910201,34,23908.046624
1675.605645,28,23914.599268
3422.656842,64,23928.846004
10149.203901,163,23966.781179
1965.186082,32,23974.179359
